unique_id,timestamp,country,y_pred,y_proba,target_date,model_version,runtime
0f695699-0933-473e-a2d9-518460d8ea04,1600783419.8842099,all,[182945.73],None,2018-01-05,0.1,000:01:02
5723524b-089a-4604-8d2a-3ef8b71cfd0c,1600956457.9256132,all,[183760.608],None,2018-01-05,0.1,000:01:03
f6fd3073-5382-48d6-a527-ee9a090d4848,1600956624.8044102,all,[183760.608],None,2018-01-05,0.1,000:01:05
3ee11acc-5d07-4c47-b2e7-e37feeaed833,1600957822.173374,all,[183479.73],None,2018-01-05,0.1,000:00:00
bcc0ade4-90ee-475c-8015-3963e0546fc4,1601295265.8388119,all,[183479.73],None,2018-01-05,0.1,000:01:12
bd51d9d5-60a5-4331-93f4-32ccff903d46,1601295971.253443,all,[183479.73],None,2018-01-05,0.1,000:00:20
37849110-74aa-4e21-8bb7-9094c83f6025,1601297449.4067829,all,[183760.608],None,2018-01-05,0.1,000:00:21
3c3f3a78-fd8f-4dc1-a6ac-a69325a3817b,1601298032.571229,all,[183760.608],None,2018-01-05,0.1,000:00:21
e5c7983d-2446-458d-a5f4-f37ae0ea5ba2,1601298790.0316029,all,[183760.608],None,2018-01-05,0.1,000:00:21
c0721e35-b641-44c5-b1ba-c878ad0a151f,1601299239.926661,all,[183760.608],None,2018-01-05,0.1,000:00:21
02eeeef3-ab9e-48b7-83a8-1f1f6cb6b907,1601299352.917037,all,[183760.608],None,2018-01-05,0.1,000:00:21
e7056a4e-2142-4bc9-870f-a446b0dfd851,1601299959.7890098,all,[183760.608],None,2018-01-05,0.1,000:00:21
2e6203b2-9baa-4217-87e7-43ef29d7351f,1601300150.533789,all,[183760.608],None,2018-01-05,0.1,000:00:22
ccbcaa00-b22c-47e1-9941-924b0d9ccffc,1601300498.167576,all,[183760.608],None,2018-01-05,0.1,000:00:21
cb3537ac-7af3-46ca-b9d0-fa8cef82f17d,1601305065.992206,all,[183760.608],None,2018-01-05,0.1,000:00:21
c67e6d61-7da5-48a6-91c2-8e34a42a0cb1,1601305144.550974,all,[183760.608],None,2018-01-05,0.1,000:00:21
d9a80348-5cd3-4b63-b136-bc37a1b89882,1601305251.727517,all,[183760.608],None,2018-01-05,0.1,000:00:21
a5c49a77-f201-4599-88d6-a97b17598c09,1601375527.71941,all,[183760.608],None,2018-01-05,0.1,000:00:22
5536e3eb-7d5f-4708-b251-27c7e97ea77e,1601375783.1965199,all,[183760.608],None,2018-01-05,0.1,000:00:21
69cd55f7-9929-4d6a-86c1-9a9d73030490,1601376300.226211,all,[183760.608],None,2018-01-05,0.1,000:00:21
8bc95ccf-7b93-4e41-870a-cae357e3cb2d,1601376353.205211,all,[183760.608],None,2018-01-05,0.1,000:00:21
93f72097-522d-4b7a-a6e4-2fc2af7813a5,1601383228.2751071,all,[183760.608],None,2018-01-05,0.1,000:00:21
41a2c376-5833-4e7d-bb8a-78e7703af090,1601383486.1721401,all,[183760.608],None,2018-01-05,0.1,000:00:21
63569b70-fef5-4703-96c3-e36e454878c0,1601387258.191765,united_kingdom,[157404.464],None,2018-01-05,0.1,000:00:21
